name,prismSelector,founder,firstRelease,extensions
javascript,javascript,Brendan Eich,1995,js|mjs
java,java,James Gosling,1995,java
typescript,typescript,Microsoft,2012,ts
jsx,jsx,Jordan Walke,2013,jsx
tsx,tsx,Jordan Walke,2013,tsx
csharp,csharp,Microsoft,2000,cs
c ,c,Dennis Ritchie,1972,c|h
c++,cpp,Bjarne Stroustrup,1985,cpp
objective c,objectivec,Brad Cox,1984,m|h
swift,swift,Chris Lattner,2014,swift
rust,rust,Graydon Hoare,2010,rs|rlib
ruby,ruby,Yukihiro Matsumoto,1995,rb
markup,markup,Tim Berners-Lee,1993,html|htm
xml,markup,Tim Bray,1998,xml
json,json,Douglas Crockford,2013,json
kotlin,kotlin,JetBrains,2011,kt|kts|ktm
dart,dart,Lars Bak,2011,dart
python,python,Guido van Rossum,1991,py|pyi|pyc|pyd|pyo|pyw|pyz
r,r,Ross Ihaka,1993,r
sql,sql,Donald D. Chamberlin,1989,sql
actionscript,actionscript,Gary Grossman,1998,as
ada,ada,Jean Ichbiah,1980,adb|ads
agda,agda,Ulf Norell,1999,agda|lagda|lagda|md|lagda|rst|lagda|tex
C/AL,al,NULL,NULL,NULL
APL,apl,Kenneth E. Iverson,1966,NULL
AppleScript,applescript,Apple,1996,scpt|scptd|applescript
arduino,arduino,arduino,NULL,ino
ASP.NET,aspnet,Microsoft,2002,aspx|cshtml|vbhtml
AutoIt,autoit,Jonathan Bennett,1999,au3
Bash,bash,Brian Fox,1989,bash|sh
Basic,basic,John G. Kemeny,1964,NULL
Batch,batch,Microsoft,1981,bat|cmd|btm
Bison,bison,Robert Corbett,1985,y
Clojure,clojure,Rich Hickey,2007,clj|cljs|cljc|edn
CoffeeScript,coffeescript,Jeremy Ashkenas,2009,coffee|litcoffee
Crystal ,crystal,Ary Borenszweig,2014,cr
CSS,css,W3C,1996,css
Cypher ,cypher,Andrés Taylor,2011,cypher
Dlang,d ,Walter Bright,2001,d
Eiffel ,eiffel,Bertrand Meyer,1986,e
Embedded JavaScript templating,ejs,Ryan Dahl,2009,ejs
Elixir,elixir,José Valim,2011,ex|exs
Elm,elm,Evan Czaplicki,2012,elm
Embedded Ruby,erb,NULL,2004,erb
Erlang,erlang,Joe Armstrong,1986,erl|hrl
Lua,etlua,Roberto Ierusalimschy,1993,lua
Factor,factor,Slava Pestov,2003,factor
fortran,fortran,John Backus,1957,f|for|f90
F Sharp,fsharp,Don Syme,2005,fs|fsi|fsx|fsscript
