name,extensions,prismIndicator,founder,year
1C Enterprise,.bsl|.os,,Boris Nuraliev,1991
4D,.4dm,,Guy Kawasaki,1984
ABAP,.abap,abap,SAP,1983
ABNF,.abnf,abnf,John Backus,1959
AGS Script,.asc|.ash,,Chris Jones,1997
AMPL,.ampl|.mod,,Robert Fourer|Brian Kernighan|Bell Labs,1985
ANTLR,.g4,,Guido van Rossum,1992
API Blueprint,.apib,markup,,2013
APL,.apl|.dyalog,apl,Kenneth E. Iverson,1966
ASL,.asl|.dsl,,Achim Bernhardt PublicSoft GmbH,2014
ASP,.asp|.asax|.ascx|.ashx|.asmx|.aspx|.axd,aspnet,Microsoft,2002
ATS,.dats|.hats|.sats,,Hongwei Xi,2019
ActionScript,.as,actionscript,Gary Grossman,1998
Ada,.adb|.ada|.ads,ada,Jean Ichbiah|S. Tucker Taft,1980s
Agda,.agda,agda,Ulf Norell,1999
Alloy,.als,,Daniel Jackson,1997
AngelScript,.as|.angelscript,,Andreas Jönsson,2003
Apache Conf,.apacheconf|.vhost,apacheconf,Robert McCool,1995
Apex,.cls,,Salesforce.com,2007
Apollo Guidance Computer,.agc,,Charles Stark Draper,1966
AppleScript,.applescript|.scpt,applescript,Apple Inc,1993
Arc,.arc,,Paul Graham,2001
AspectJ,.aj,,Mik Kersten,2001
Assembly,.asm|.a51|.i|.inc|.nasm,,David J. Wheeler,1949
Asymptote,.asy,,Andy Hammerlindl|John C. Bow,2004
Augeas,.aug,,,1995
AutoHotkey,.ahk|.ahkl,autohotkey,Chris Mallett,2003
AutoIt,.au3,autoit,Jonathan Bennett,1999
Awk,.awk|.auk|.gawk|.mawk|.nawk,,Alfred Aho|Peter J. Weinberger|Brian Kernighan,1977
Ballerina,.bal,,Sanjiva Weerawarana|James Clark|Sameera Jayasoma|Hasitha Aravinda|Srinath Perera|Frank Leymann|WSO2,2015
Batchfile,.bat|.cmd,,batch script,1985
Befunge,.befunge,,Chris Pressey,1993
BibTeX,.bib|.bibtex,markup,Oren Patashnik| Leslie Lamport,1985
Bison,.bison,bison,Robert Corbett,1985
BitBake,.bb,,Holger Schurig,2004
Blade,.blade|.blade.php,markup,Phillip Porras,2011
Blitz Basic,.bb|.decls,,Mark Sibly,2004
Blitz Max,.bmx,,Mark Sibly,2004
Bluespec,.bsv,,Professor Arvind,2003
Boo,.boo,,Rodrigo B. De Oliveira,2003
Brainfuck,.b|.bf,brainfuck,Urban Müller,1993
Brightscript,.brs,brightscript,Anthony Wood,2008
C,.c|.cats|.h|.idc,c,Dennis Ritchie,1972 and 1973
C#,.cs|.cake|.csx|.linq,csharp,Microsoft Corporation,2000
C++,.cpp|.c++|.cc|.cp|.cxx|.h|.h++|.hh|.hpp|.hxx|.inc|.inl|.ino|.ipp|.re|.tcc|.tpp,cpp,Bjarne Stroustrup,1980
CLIPS,.clp,,,1985
CMake,.cmake|.cmake.in,cmake,Andy Cedilnik| Bill Hoffman| Brad King| Ken Martin| Alexander Neundorf,2000
COBOL,.cob|.cbl|.ccp|.cobol|.cpy,,Grace Murray Hopper,1959
COLLADA,.dae,,Rémi Arnaud,2004
CSON,.cson,,Fredrik Hübinette,1972
CSS,.css,markup,Håkon Wium Lie,1996
CSV,.csv,,Adam Retter,2005
CWeb,.w,,Fortran,1987
Cap'n Proto,.capnp,,Wouter van Oortmerssen,2014
CartoCSS,.mss,,,2011
Ceylon,.ceylon,,Gavin King,2011
Chapel,.chpl,,David Callahan| Hans Zima| Brad Chamberlain| John Plevyak,2009
Charity,.ch,,Hagino Tatsuya|Robin Cockett|developed at the University of Calgary,1992
ChucK,.ck,,Ge Wang,2003
Cirru,.cirru,,Michael Hanus|Sergio Antoy| et al.,1980s
Clarion,.clw,,Bruce Barrington,1986
Clean,.icl|.dcl,,Software Technology Research Group of Radboud University Nijmegen,1987
cilk,.c|.c++,,Intel,2010
Clojure,.clj|.boot|.cl2|.cljc|.cljs|.cljs.hl|.cljscm|.cljx|.hic,clojure,Rich Hickey,2007
Closure Templates,.soy,markup,Google,2009
CodeQL,.ql|.qll,,Oege de Moor,
CoffeeScript,.coffee|._coffee|.cake|.cjsx|.iced,coffeescript,Jeremy Ashkenas,2009
ColdFusion,.cfm|.cfml,,Jeremy Allaire,1995
ColdFusion CFC,.cfc,,Jeremy Allaire,1995
Common Lisp,.lisp|.asd|.cl|.l|.lsp|.ny|.podsl|.sexp,lisp,John McCarthy|Steve Russell|Timothy P. Hart|Mike Levin,1960
Common Workflow Language,.cwl,,Peter Amstutz|John Chilton|Nebojsa Tijanic|Michael R. Crusoe,2014
Component Pascal,.cp|.cps,,Niklaus Wirth,1997
Cool,.cl,,Alexander Aiken,1996
Coq,.coq|.v,,Gérard Huet,1989
Crystal,.cr,crystal,Ary Borenszweig,2009
Csound,.orc|.udo,,Barry Vercoe,1986
Csound Document,.csd,,Barry Vercoe,1986
Csound Score,.sco,,Barry Vercoe,1986
Cuda,.cu|.cuh,,Nvidia,2007
Cycript,.cy,,,2007
Cython,.pyx|.pxd|.pxi,,Robert Bradshaw,1991
D,.d|.di,d,Konrad Zuse,2001
DIGITAL Command Language,.com,,Digital Equipment Corporation,1997
DM,.dm,,Dennis MacAlistair Ritchie,1994
DTrace,.d,,Bryan Cantrill|Adam Leventhal|Mike Shapiro (Sun Microsystems),2005
Dafny CFC,.dfy,,Rustan Leino,2009
Dart,.dart,dart,Lars Bak,2011
DataWeave,.dwl,,Karthik Bettadapura,2014
Dhall,.dhall,dhall,Gabriel Gonzalez,2017
Diff,.diff|.patch,diff,,1974
Dockerfile,.dockerfile,,Solomon Hykes,2013
Dogescript,.djs,,Zach Bruggeman,2013
Dylan,.dylan|.dyl|.intr|.lid,,Walter Smith,1992
E,.E,,Mark S. Miller,1997
EBNF,.ebnf,ebnf,Niklaus Wirth,1996
ECL,.ecl|.eclxml,,David Bayliss,2000
ECLiPSe,.ecl,,IBM,2001
EJS,.ejs,markup,Francisco Esquembre,2010
EQ,.eq,,Brad McQuaid|Steve Clover|Bill Trost,
Eagle,.sch|.brd,,Rudolf Hofer,1988
Easybuild,.eb,,Guido van Rossum,2014
Eiffel,.e,eiffel,Bertrand Meyer,1986
Elixir,.ex|.exs,elixir,José Valim,2011
Elm,.elm,elm,Evan Czaplicki,2012
Emacs Lisp,.el|.emacs|.emacs.desktop,,Richard Stallman,1976
Erlang,.erl|.app.src|.es|.escript|.hrl|.xrl|.yrl,erlang,Joe Armstrong,1986
F#,.fs|.fsi|.fsx,fsharp,Don Syme|Microsoft Research,2005
F*,.fst,,Microsoft Research|French Institute for Research in Computer Science and Automation,2016
FLUX,.fx|.flux,,Paul Dix,2014
Factor,.factor,factor,Slava Pestov,2003
Fancy,.fy|.fancypack,,Rasmus Lerdorf,2010
Fantom,.fan,,Andy Frank,2005
Faust,.dsp,,Yann Orlarey|Dominique Fober|Stéphane Letz,2002
Filebench WML,.f,,,2002
Filterscript,.fs,,Jonathan Mitchell,2009
Formatted,.for|.eam.fs,,,1972
Forth,.fth|.4th|.f|.for|.forth|.fr|.frt|.fs,,Charles H. Moore,1970
Fortran,.f|.f77|.for|.fpp,fortran,John Backus,1957
Fortran Free Form,.f90|.f03|.f08|.f95,,John Backus Developer,1957
FreeMarker,.ftl,,Jonathan Revusky|Attila Szegedi|Dániel Dékány,2000
Frege,.fr,,Ingo Wechsung,2011
Futhark,.fut,,Troels Henriksen|Cosmin Oancea|Martin Elsman,2014
G-code,.g|.cnc|.gco|.gcode,,Massachusetts Institute of Technology,1950s
GAML,.gaml,,Robert Griesemer Rob Pike Ken Thompson,1991
GAMS,.gms,,George Dantzig,1988
GAP,.g|.gap|.gd|.gi|.tst,,Joachim Neubüser,1985
GCC Machine Description,.md,,GNU Project,2001
GDB,.gdb|.gdbinit,,Richard Stallman,1986
GDScript,.gd,gdscript,Juan Linietsky,2008
GEDCOM,.ged,gedcom,LDS FHD,1984
GLSL,.glsl|.fp|.frag|.frg|.fs|.fsh|.fshader|.geo|.geom|.glslf|.glslv|.gs|.gshader|.shader|.tesc|.tese|.vert|.vrx|.vsh|.vshader,glsl,Mark Segal,2004
GN,.gn|.gni,,Mahesh Kulkarni,1976
Game Maker Language,.gml,,Mark Overmars,1999
Genie,.gs,,Jamie McCracken,2008
Genshi,.kid,,Edgewall Software,1950s
Gentoo Ebuild,.ebuild,,Portage,1999
Gentoo Eclass,.eclass,,,2000
Gherkin,.feature,gherkin,Aslak Hellesøy|Joseph Wilk|Matt Wynne|Gregory Hnatiuk|Mike Sassak,2008
Glyph,.glf,,Glyph Lefkowitz,2007
Gnuplot,.gp|.gnu|.gnuplot|.p|.plot|.plt,,Thomas Williams|Colin Kelley,1986
Go,.go,go,Robert Griesemer|Rob Pike|Ken Thompson,2009
Golo,.golo,,INSA Lyon,2012
Gosu,.gs|.gst|.gsx|.vark,,Guidewire and open source contributors,2002
Grace,.grace,,Andrew Black,1953
Gradle,.gradle,,Groovy language,2007
Grammatical Framework,.gf,,Martin Löf's,1994
GraphQL,.graphql|.gql|.graphqls,graphql,Lee Byron,2015
Groovy,.groovy|.grt|.gtpl|.gvy,groovy,James Strachan,2003
Groovy Server Pages,.gsp,,Graeme Rocher,2005
HAProxy,.cfg,,Willy Tarreau,2000
HCL,.hcl|.tf|.tfvars|.workflow,hcl,Shiv Nadar,1976
HLSL,.hlsl|.cginc|.fx|.fxh|.hlsli,hlsl,GLSL,2002
HTML,.html|.htm|.html.hl|.inc|.st|.xht|.xhtml,markup,Tim Berners-Lee,1990
HTML+Django,.jinja|.jinja2|.mustache|.njk,markup,Adrian Holovaty|Simon Willison,2003
HTML+ECR,.ecr,markup,Konrad Zuse,1990
HTML+EEX,.eex,markup,,1993
HTML+ERB,.erb|.erb.deface|.rhtml,markup,David Heinemeier Hansson,1996
HTML+PHP,.phtml,markup,Rasmus Lerdorf,1995
HTML+Razor,.cshtml|.razor,markup,Microsoft,2010
HTTP,.http,http,Sir Timothy John Berners-Lee,1991
HXML,.hxml,,Konrad Zuse,2005
Hack,.hack|.hh|.hhi|.php,,Facebook,‎2014
Haml,.haml|.haml.deface,markup,Hampton Catlin,1990s
Handlebars,.handlebars|.hbs,markup,Chris Wanstrath,1920
Harbour,.hb,,Antonio Linares,1999
Haskell,.hs|.hs-boot|.hsc,haskell,Lennart Augustsson|Dave Barton|Brian Boutel|Warren Burton|Joseph Fasel|Kevin Hammond|Ralf Hinze|Paul Hudak|John Hughes|Thomas Johnsson|Mark Jones|Simon Peyton Jones|John Launchbury|Erik Meijer|John Peterson|Alastair Reid|Colin Runciman|Philip Wadler,1990
Haxe,.hx|.hxsl,haxe,Haxe Foundation,2005
HiveQL,.q|.hql,,Facebook,2010
HolyC,.hc,,Terry A. Davis,2005
Hy,.hy,,Paul Tagliamonte,2013
HyPhy,.bf,,producer J Maine,1997
IDL,.pro|.dlm,,David Stern,1977
IGOR Pro,.ipf,,WaveMetrics Inc.,1993
INI,.ini|.cfg|.dof|.lektorproject|.prefs|.pro|.properties,ini,,1987
Idris,.idr|.lidr,,Edwin Brady,2007
Inform 7,.ni|.i7x,,Graham Nelson,1993
Inno Setup,.iss|.isl,,Jordan Russell’s Software,1997
Io,.io,io,Steve Dekorte,2002
